"tab_code","表章項目","cat01_code","宿泊施設タイプ","cat02_code","宿泊者数","area_code","施設所在地","time_code","時間軸(年次、月次)","unit","value"
"120","実宿泊者数","100","合計","120","実宿泊者数","05000","秋田県","2016000606","2016年6月","人","228390"
"120","実宿泊者数","100","合計","120","実宿泊者数","05000","秋田県","2016000505","2016年5月","人","227860"
"120","実宿泊者数","100","合計","120","実宿泊者数","05000","秋田県","2016000404","2016年4月","人","189340"
"120","実宿泊者数","100","合計","120","実宿泊者数","05000","秋田県","2016000303","2016年3月","人","177450"
"120","実宿泊者数","100","合計","120","実宿泊者数","05000","秋田県","2016000202","2016年2月","人","150500"
"120","実宿泊者数","100","合計","120","実宿泊者数","05000","秋田県","2016000101","2016年1月","人","150550"
"120","実宿泊者数","100","合計","120","実宿泊者数","05000","秋田県","2015000000","2015年","人","2620410"
"120","実宿泊者数","100","合計","120","実宿泊者数","05000","秋田県","2015001212","2015年12月","人","163190"
"120","実宿泊者数","100","合計","120","実宿泊者数","05000","秋田県","2015001111","2015年11月","人","206350"
"120","実宿泊者数","100","合計","120","実宿泊者数","05000","秋田県","2015001010","2015年10月","人","297280"
"120","実宿泊者数","100","合計","120","実宿泊者数","05000","秋田県","2015000909","2015年9月","人","253730"
"120","実宿泊者数","100","合計","120","実宿泊者数","05000","秋田県","2015000808","2015年8月","人","310920"
"120","実宿泊者数","100","合計","120","実宿泊者数","05000","秋田県","2015000707","2015年7月","人","258060"
"120","実宿泊者数","100","合計","120","実宿泊者数","05000","秋田県","2015000606","2015年6月","人","214860"
"120","実宿泊者数","100","合計","120","実宿泊者数","05000","秋田県","2015000505","2015年5月","人","259170"
"120","実宿泊者数","100","合計","120","実宿泊者数","05000","秋田県","2015000404","2015年4月","人","180420"
"120","実宿泊者数","100","合計","120","実宿泊者数","05000","秋田県","2015000303","2015年3月","人","163620"
"120","実宿泊者数","100","合計","120","実宿泊者数","05000","秋田県","2015000202","2015年2月","人","159240"
"120","実宿泊者数","100","合計","120","実宿泊者数","05000","秋田県","2015000101","2015年1月","人","153560"
"120","実宿泊者数","100","合計","120","実宿泊者数","05000","秋田県","2014000000","2014年","人","2766350"
"120","実宿泊者数","100","合計","120","実宿泊者数","05000","秋田県","2014001212","2014年12月","人","179500"
"120","実宿泊者数","100","合計","120","実宿泊者数","05000","秋田県","2014001111","2014年11月","人","231220"
"120","実宿泊者数","100","合計","120","実宿泊者数","05000","秋田県","2014001010","2014年10月","人","301330"
"120","実宿泊者数","100","合計","120","実宿泊者数","05000","秋田県","2014000909","2014年9月","人","252100"
"120","実宿泊者数","100","合計","120","実宿泊者数","05000","秋田県","2014000808","2014年8月","人","319890"
"120","実宿泊者数","100","合計","120","実宿泊者数","05000","秋田県","2014000707","2014年7月","人","254600"
